projectId	loc	commits	age	all	localVariable	methodReturn	methodParameter	constructorParameter	field	privateMethodReturn	protectedMethodReturn	publicMethodReturn	privateMethodParameter	protectedMethodParameter	publicMethodParameter	privateConstructorParameter	protectedConstructorParameter	publicConstructorParameter	privateField	protectedField	publicField	private	protected	public	condition
0linesofcode_grails-likeable	498	0	68	0.3076923076923077	0.0	0.5833333333333334	1.0	1.0	0.21428571428571427	NA	NA	0.5833333333333334	NA	NA	1.0	NA	NA	1.0	0.21428571428571427	NA	NA	0.21428571428571427	NA	0.6666666666666666	dynamic-only
12chakram_LearnGrails	357	7	0	0.22727272727272727	0.0	0.0	0.0	NA	0.5	NA	NA	0.0	NA	NA	0.0	NA	NA	NA	0.5	NA	NA	0.5	NA	0.0	static-only
12meses12katas_Diciembre-PomodoroKata	604	68	454	0.5670103092783505	0.0	0.6060606060606061	1.0	1.0	0.5238095238095238	0.0	NA	0.6349206349206349	NA	NA	1.0	NA	NA	1.0	0.5238095238095238	NA	NA	0.4583333333333333	NA	0.6567164179104478	dynamic-only
12meses12katas_Septiembre-KataArgs	821	49	487	0.6451612903225806	0.48	0.8	0.3793103448275862	0.7777777777777778	0.9166666666666666	0.625	NA	0.8194444444444444	0.4444444444444444	NA	0.35	NA	NA	0.7777777777777778	0.9166666666666666	NA	NA	0.7560975609756098	NA	0.7227722772277227	dynamic-only
13k_sc2gears-macroview	323	2	405	0.25	NA	NA	NA	1.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	0.0	NA	NA	0.0	NA	1.0	static-and-dynamic
13k_sc2gears-mapdownload	204	6	447	0.07692307692307693	NA	0.0	NA	1.0	0.0	NA	NA	0.0	NA	NA	NA	NA	NA	1.0	0.0	NA	NA	0.0	NA	0.16666666666666666	static-and-dynamic
166MMX_dpdr	1941	10	84	0.9630057803468208	0.76	0.8064516129032258	0.8717948717948718	1.0	0.9957386363636364	0.6666666666666666	NA	0.8214285714285714	1.0	NA	0.8571428571428571	1.0	NA	1.0	0.9888475836431226	NA	1.0	0.9856115107913669	NA	0.98046875	static-and-dynamic
21207162_QuestionAnswer	2084	56	10	0.4192634560906516	0.11194029850746269	0.4789915966386555	0.90625	NA	0.5	NA	NA	0.4789915966386555	NA	NA	0.90625	NA	NA	NA	0.5	NA	NA	0.5	NA	0.6284153005464481	dynamic-only
2b4me_2b4me-web	470	7	362	0.7878787878787878	NA	0.8888888888888888	NA	NA	0.7719298245614035	NA	NA	0.8888888888888888	NA	NA	NA	NA	NA	NA	0.7719298245614035	NA	NA	0.7719298245614035	NA	0.8888888888888888	dynamic-only
3bit_gradle-build	84	11	359	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	1.0	NA	NA	1.0	NA	NA	1.0	1.0	NA	NA	1.0	NA	1.0	static-only
