projectId	loc	commits	age	all	localVariable	methodReturn	methodParameter	constructorParameter	field	privateMethodReturn	protectedMethodReturn	publicMethodReturn	privateMethodParameter	protectedMethodParameter	publicMethodParameter	privateConstructorParameter	protectedConstructorParameter	publicConstructorParameter	privateField	protectedField	publicField	private	protected	public	condition
0linesofcode_grails-likeable	498	0	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
0linesofcode_grails-likeable	498	0	68	0.3076923076923077	0.0	0.5833333333333334	1.0	1.0	0.21428571428571427	NA	NA	0.5833333333333334	NA	NA	1.0	NA	NA	1.0	0.21428571428571427	NA	NA	0.21428571428571427	NA	0.6666666666666666	not-script
12chakram_LearnGrails	357	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
12chakram_LearnGrails	357	7	0	0.22727272727272727	0.0	0.0	0.0	NA	0.5	NA	NA	0.0	NA	NA	0.0	NA	NA	NA	0.5	NA	NA	0.5	NA	0.0	not-script
21207162_QuestionAnswer	2084	56	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
21207162_QuestionAnswer	2084	56	10	0.4192634560906516	0.11194029850746269	0.4789915966386555	0.90625	NA	0.5	NA	NA	0.4789915966386555	NA	NA	0.90625	NA	NA	NA	0.5	NA	NA	0.5	NA	0.6284153005464481	not-script
2b4me_2b4me-web	470	7	362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
2b4me_2b4me-web	470	7	362	0.7878787878787878	NA	0.8888888888888888	NA	NA	0.7719298245614035	NA	NA	0.8888888888888888	NA	NA	NA	NA	NA	NA	0.7719298245614035	NA	NA	0.7719298245614035	NA	0.8888888888888888	not-script
3mtee_jforum-grails	909	14	257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
3mtee_jforum-grails	909	14	257	0.38095238095238093	0.23728813559322035	0.6756756756756757	0.3548387096774194	NA	0.34146341463414637	1.0	1.0	0.6571428571428571	NA	NA	0.3548387096774194	NA	NA	NA	0.34146341463414637	NA	NA	0.35714285714285715	1.0	0.5151515151515151	not-script
3musket33rs_jsonp	151	18	278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
3musket33rs_jsonp	151	18	278	0.08	0.0	1.0	1.0	0.0	0.0	NA	NA	1.0	NA	NA	1.0	NA	NA	0.0	0.0	NA	NA	0.0	NA	0.4	not-script
4ctechnologies_acod_kassasystemen	3461	0	790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4ctechnologies_acod_kassasystemen	3461	0	790	0.2591240875912409	0.0625	0.7058823529411765	0.5408163265306123	NA	0.22093023255813954	1.0	1.0	0.6153846153846154	NA	0.0	0.5638297872340425	NA	NA	NA	0.22093023255813954	NA	NA	0.22988505747126436	0.8823529411764706	0.5909090909090909	not-script
4impact_madcow-test-site	984	23	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4impact_madcow-test-site	984	23	332	0.1888111888111888	0.0759493670886076	0.8571428571428571	0.0	NA	0.1836734693877551	1.0	NA	0.8333333333333334	0.0	NA	NA	NA	NA	NA	0.1836734693877551	NA	NA	0.21153846153846154	NA	0.8333333333333334	not-script
4np_grails-grom	434	27	240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_grails-grom	434	27	240	0.27450980392156865	0.0	0.0	0.9333333333333333	NA	0.0	NA	NA	0.0	NA	NA	0.9333333333333333	NA	NA	NA	0.0	NA	NA	0.0	NA	0.7	not-script
4np_grails-provenance	209	2	196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_grails-provenance	209	2	196	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	NA	not-script
4np_grailsOnAWS	243	13	196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_grailsOnAWS	243	13	196	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	NA	not-script
4np_grailsRhinoPlayground	417	20	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_grailsRhinoPlayground	417	20	3	0.8611111111111112	0.9	0.9	1.0	NA	0.0	NA	1.0	0.8571428571428571	NA	1.0	1.0	NA	NA	NA	0.0	NA	NA	0.0	1.0	0.9230769230769231	not-script
4np_toolbox	362	34	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_toolbox	362	34	2	0.07142857142857142	0.0	0.6666666666666666	NA	NA	0.0	NA	NA	0.6666666666666666	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	0.6666666666666666	not-script
4np_yakshop	1264	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
4np_yakshop	1264	0	2	0.4875	0.2988505747126437	0.8444444444444444	1.0	NA	0.2631578947368421	NA	NA	0.8444444444444444	NA	NA	1.0	NA	NA	NA	0.2631578947368421	NA	NA	0.2631578947368421	NA	0.8703703703703703	not-script
6lackpeR1_Pomodoro	433	2	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
6lackpeR1_Pomodoro	433	2	45	0.2826086956521739	0.0	1.0	NA	NA	0.3181818181818182	NA	NA	1.0	NA	NA	NA	NA	NA	NA	0.3181818181818182	NA	NA	0.3181818181818182	NA	1.0	not-script
6lackpeR1_todo	349	5	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
6lackpeR1_todo	349	5	122	0.19047619047619047	0.0	0.42857142857142855	0.0	NA	0.16666666666666666	NA	NA	0.42857142857142855	NA	NA	0.0	NA	NA	NA	0.16666666666666666	NA	NA	0.16666666666666666	NA	0.375	not-script
8uos4swk_prostopersik.com	224	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
8uos4swk_prostopersik.com	224	6	3	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	0.0	NA	NA	not-script
8uos4swk_prostotalon.com	599	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	script
