projectId	loc	commits	age	all	localVariable	methodReturn	methodParameter	constructorParameter	field	privateMethodReturn	protectedMethodReturn	publicMethodReturn	privateMethodParameter	protectedMethodParameter	publicMethodParameter	privateConstructorParameter	protectedConstructorParameter	publicConstructorParameter	privateField	protectedField	publicField	private	protected	public
0linesofcode_grails-likeable	498	0	68	52	9	12	2	1	28	0	0	12	0	0	2	0	0	1	28	0	0	28	0	15
12chakram_LearnGrails	357	7	0	22	3	7	2	0	10	0	0	7	0	0	2	0	0	0	10	0	0	10	0	9
12meses12katas_Diciembre-PomodoroKata	604	68	454	97	6	66	3	1	21	3	0	63	0	0	3	0	0	1	21	0	0	24	0	67
12meses12katas_Septiembre-KataArgs	821	49	487	217	75	80	29	9	24	8	0	72	9	0	20	0	0	9	24	0	0	41	0	101
13k_sc2gears-macroview	323	2	405	4	0	0	0	1	3	0	0	0	0	0	0	0	0	1	3	0	0	3	0	1
13k_sc2gears-mapdownload	204	6	447	13	0	5	0	1	7	0	0	5	0	0	0	0	0	1	7	0	0	7	0	6
166MMX_dpdr	1941	10	84	865	75	31	39	16	704	3	0	28	4	0	35	2	0	14	269	0	435	278	0	512
21207162_QuestionAnswer	2084	56	10	353	134	119	64	0	36	0	0	119	0	0	64	0	0	0	36	0	0	36	0	183
2b4me_2b4me-web	470	7	362	66	0	9	0	0	57	0	0	9	0	0	0	0	0	0	57	0	0	57	0	9
3bit_gradle-build	84	11	359	15	1	5	1	1	7	0	0	5	0	0	1	0	0	1	7	0	0	7	0	7
3kbo_groovy-rdfizers	1283	11	383	191	67	77	29	10	8	0	0	77	0	0	29	0	0	10	8	0	0	8	0	116
3mtee_jforum-grails	909	14	257	168	59	37	31	0	41	1	1	35	0	0	31	0	0	0	41	0	0	42	1	66
3musket33rs_jsonp	151	18	278	25	2	1	1	3	18	0	0	1	0	0	1	0	0	3	18	0	0	18	0	5
4ctechnologies_acod_kassasystemen	3461	0	790	822	416	136	98	0	172	2	30	104	0	4	94	0	0	0	172	0	0	174	34	198
4impact_madcow-test-site	984	23	332	143	79	14	1	0	49	2	0	12	1	0	0	0	0	0	49	0	0	52	0	12
4np_grails-grom	434	27	240	51	10	5	15	0	21	0	0	5	0	0	15	0	0	0	21	0	0	21	0	20
