element1 element2 coefficient p.value
localVariable        methodReturn         0.231                0                   
localVariable        methodParameter      0.431                0                   
localVariable        constructorParameter 0.230                0                   
localVariable        field                0.372                0                   
methodReturn         methodParameter      0.421                0                   
methodReturn         constructorParameter 0.210                0                   
methodReturn         field                0.166                0                   
methodParameter      constructorParameter 0.421                0                   
methodParameter      field                0.318                0                   
constructorParameter field                0.282                0                   
