  Tukey multiple comparisons of means
    99% family-wise confidence level

Fit: aov(formula = U ~ C * T, data = d)

$C
                                       diff         lwr         upr p adj
dynamic-only-static-only        -0.10988069 -0.12999485 -0.08976653     0
static-and-dynamic-static-only  -0.08410835 -0.10293995 -0.06527674     0
static-and-dynamic-dynamic-only  0.02577235  0.01204225  0.03950245     0

$T
              diff         lwr         upr     p adj
Fd-CP -0.370870757 -0.40054327 -0.34119824 0.0000000
LV-CP -0.509857339 -0.53961540 -0.48009928 0.0000000
MP-CP -0.130692618 -0.16110783 -0.10027740 0.0000000
MR-CP -0.125225913 -0.15496372 -0.09548810 0.0000000
LV-Fd -0.138986582 -0.15869675 -0.11927642 0.0000000
MP-Fd  0.240178139  0.21948916  0.26086712 0.0000000
MR-Fd  0.245644844  0.22596526  0.26532443 0.0000000
MP-LV  0.379164721  0.35835324  0.39997620 0.0000000
MR-LV  0.384631426  0.36482310  0.40443975 0.0000000
MR-MP  0.005466705 -0.01531581  0.02624922 0.9127132

$`C:T`
                                                    diff          lwr           upr     p adj
dynamic-only:CP-static-only:CP              -0.025076452 -0.128701031  0.0785481270 0.9998424
static-and-dynamic:CP-static-only:CP        -0.028959846 -0.122885646  0.0649659539 0.9975937
static-only:Fd-static-only:CP               -0.270973745 -0.367185737 -0.1747617537 0.0000000
dynamic-only:Fd-static-only:CP              -0.448587654 -0.537961305 -0.3592140030 0.0000000
static-and-dynamic:Fd-static-only:CP        -0.394842636 -0.482603591 -0.3070816817 0.0000000
static-only:LV-static-only:CP               -0.435776001 -0.531772986 -0.3397790166 0.0000000
dynamic-only:LV-static-only:CP              -0.569497876 -0.659401589 -0.4795941625 0.0000000
static-and-dynamic:LV-static-only:CP        -0.539498175 -0.627217140 -0.4517792110 0.0000000
static-only:MP-static-only:CP               -0.093766983 -0.191901425  0.0043674586 0.0188127
dynamic-only:MP-static-only:CP              -0.178302967 -0.269200291 -0.0874056433 0.0000000
static-and-dynamic:MP-static-only:CP        -0.157935649 -0.246218721 -0.0696525766 0.0000000
static-only:MR-static-only:CP               -0.096357603 -0.192821629  0.0001064231 0.0101626
dynamic-only:MR-static-only:CP              -0.149049480 -0.238707733 -0.0593912276 0.0000000
static-and-dynamic:MR-static-only:CP        -0.165107540 -0.252848688 -0.0773663907 0.0000000
static-and-dynamic:CP-dynamic-only:CP       -0.003883394 -0.075778482  0.0680116943 1.0000000
static-only:Fd-dynamic-only:CP              -0.245897293 -0.320754458 -0.1710401283 0.0000000
dynamic-only:Fd-dynamic-only:CP             -0.423511202 -0.489348101 -0.3576743027 0.0000000
static-and-dynamic:Fd-dynamic-only:CP       -0.369766184 -0.433396625 -0.3061357437 0.0000000
static-only:LV-dynamic-only:CP              -0.410699549 -0.485280170 -0.3361189291 0.0000000
dynamic-only:LV-dynamic-only:CP             -0.544421424 -0.610976104 -0.4778667434 0.0000000
static-and-dynamic:LV-dynamic-only:CP       -0.514421723 -0.577994237 -0.4508492093 0.0000000
static-only:MP-dynamic-only:CP              -0.068690531 -0.146002991  0.0086219289 0.0451673
dynamic-only:MP-dynamic-only:CP             -0.153226515 -0.221117393 -0.0853356372 0.0000000
static-and-dynamic:MP-dynamic-only:CP       -0.132859197 -0.197207846 -0.0685105475 0.0000000
static-only:MR-dynamic-only:CP              -0.071281151 -0.146461974  0.0038996720 0.0208079
