  Tukey multiple comparisons of means
    99.99% family-wise confidence level

Fit: aov(formula = U ~ C * T, data = d)

$C
                                       diff          lwr         upr p adj
dynamic-only-static-only        -0.10988069 -0.138503602 -0.08125778     0
static-and-dynamic-static-only  -0.08410835 -0.110906154 -0.05731054     0
static-and-dynamic-dynamic-only  0.02577235  0.006234102  0.04531059     0

$T
              diff         lwr         upr     p adj
Fd-CP -0.370870757 -0.41109076 -0.33065076 0.0000000
LV-CP -0.509857339 -0.55019328 -0.46952139 0.0000000
MP-CP -0.130692618 -0.17191932 -0.08946592 0.0000000
MR-CP -0.125225913 -0.16553441 -0.08491741 0.0000000
LV-Fd -0.138986582 -0.16570298 -0.11227019 0.0000000
MP-Fd  0.240178139  0.21213499  0.26822129 0.0000000
MR-Fd  0.245644844  0.21896990  0.27231979 0.0000000
MP-LV  0.379164721  0.35095553  0.40737391 0.0000000
MR-LV  0.384631426  0.35778198  0.41148087 0.0000000
MR-MP  0.005466705 -0.02270323  0.03363664 0.9127132

$`C:T`
                                                    diff          lwr          upr     p adj
dynamic-only:CP-static-only:CP              -0.025076452 -0.156679923  0.106527019 0.9998424
static-and-dynamic:CP-static-only:CP        -0.028959846 -0.148245843  0.090326151 0.9975937
static-only:Fd-static-only:CP               -0.270973745 -0.393163212 -0.148784279 0.0000000
dynamic-only:Fd-static-only:CP              -0.448587654 -0.562092411 -0.335082897 0.0000000
static-and-dynamic:Fd-static-only:CP        -0.394842636 -0.506299265 -0.283386008 0.0000000
static-only:LV-static-only:CP               -0.435776001 -0.557692409 -0.313859594 0.0000000
dynamic-only:LV-static-only:CP              -0.569497876 -0.683675813 -0.455319938 0.0000000
static-and-dynamic:LV-static-only:CP        -0.539498175 -0.650901476 -0.428094875 0.0000000
static-only:MP-static-only:CP               -0.093766983 -0.218397966  0.030864000 0.0188127
dynamic-only:MP-static-only:CP              -0.178302967 -0.293742793 -0.062863142 0.0000000
static-and-dynamic:MP-static-only:CP        -0.157935649 -0.270055368 -0.045815930 0.0000000
static-only:MR-static-only:CP               -0.096357603 -0.218867154  0.026151948 0.0101626
dynamic-only:MR-static-only:CP              -0.149049480 -0.262915682 -0.035183279 0.0000000
static-and-dynamic:MR-static-only:CP        -0.165107540 -0.276539015 -0.053676064 0.0000000
static-and-dynamic:CP-dynamic-only:CP       -0.003883394 -0.095190333  0.087423545 1.0000000
static-only:Fd-dynamic-only:CP              -0.245897293 -0.340966077 -0.150828509 0.0000000
dynamic-only:Fd-dynamic-only:CP             -0.423511202 -0.507124226 -0.339898178 0.0000000
static-and-dynamic:Fd-dynamic-only:CP       -0.369766184 -0.450577000 -0.288955368 0.0000000
static-only:LV-dynamic-only:CP              -0.410699549 -0.505417121 -0.315981978 0.0000000
dynamic-only:LV-dynamic-only:CP             -0.544421424 -0.628946031 -0.459896816 0.0000000
static-and-dynamic:LV-dynamic-only:CP       -0.514421723 -0.595158973 -0.433684474 0.0000000
static-only:MP-dynamic-only:CP              -0.068690531 -0.166877546  0.029496484 0.0451673
dynamic-only:MP-dynamic-only:CP             -0.153226515 -0.239448098 -0.067004933 0.0000000
static-and-dynamic:MP-dynamic-only:CP       -0.132859197 -0.214582140 -0.051136254 0.0000000
static-only:MR-dynamic-only:CP              -0.071281151 -0.166760981  0.024198679 0.0208079
dynamic-only:MR-dynamic-only:CP             -0.123973028 -0.208076060 -0.039869997 0.0000000
static-and-dynamic:MR-dynamic-only:CP       -0.140031087 -0.220807208 -0.059254967 0.0000000
static-only:Fd-static-and-dynamic:CP        -0.242013899 -0.319135552 -0.164892247 0.0000000
dynamic-only:Fd-static-and-dynamic:CP       -0.419627808 -0.482084300 -0.357171316 0.0000000
static-and-dynamic:Fd-static-and-dynamic:CP -0.365882790 -0.424534846 -0.307230734 0.0000000
static-only:LV-static-and-dynamic:CP        -0.406816156 -0.483504447 -0.330127864 0.0000000
dynamic-only:LV-static-and-dynamic:CP       -0.540538030 -0.604209727 -0.476866333 0.0000000
static-and-dynamic:LV-static-and-dynamic:CP -0.510538329 -0.569088983 -0.451987675 0.0000000
static-only:MP-static-and-dynamic:CP        -0.064807137 -0.145741466  0.016127191 0.0077833
dynamic-only:MP-static-and-dynamic:CP       -0.149343121 -0.215250912 -0.083435330 0.0000000
static-and-dynamic:MP-static-and-dynamic:CP -0.128975803 -0.188878350 -0.069073256 0.0000000
static-only:MR-static-and-dynamic:CP        -0.067397757 -0.145025546  0.010230032 0.0020189
dynamic-only:MR-static-and-dynamic:CP       -0.120089634 -0.183200612 -0.056978656 0.0000000
static-and-dynamic:MR-static-and-dynamic:CP -0.136147694 -0.194751936 -0.077543451 0.0000000
dynamic-only:Fd-static-only:Fd              -0.177613909 -0.245451435 -0.109776382 0.0000000
static-and-dynamic:Fd-static-only:Fd        -0.123868891 -0.188220893 -0.059516889 0.0000000
static-only:LV-static-only:Fd               -0.164802256 -0.245933080 -0.083671433 0.0000000
dynamic-only:LV-static-only:Fd              -0.298524130 -0.367482100 -0.229566161 0.0000000
static-and-dynamic:LV-static-only:Fd        -0.268524430 -0.332784026 -0.204264835 0.0000000
static-only:MP-static-only:Fd                0.177206762  0.092051128  0.262362396 0.0000000
dynamic-only:MP-static-only:Fd               0.092670778  0.021642942  0.163698614 0.0000000
static-and-dynamic:MP-static-only:Fd         0.113038096  0.047544344  0.178531849 0.0000000
static-only:MR-static-only:Fd                0.174616142  0.092596692  0.256635592 0.0000000
dynamic-only:MR-static-only:Fd               0.121924265  0.053483692  0.190364838 0.0000000
static-and-dynamic:MR-static-only:Fd         0.105866206  0.041557779  0.170174633 0.0000000
static-and-dynamic:Fd-dynamic-only:Fd        0.053745018  0.007982103  0.099507932 0.0000005
static-only:LV-dynamic-only:Fd               0.012811652 -0.054532796  0.080156101 0.9998453
dynamic-only:LV-dynamic-only:Fd             -0.120910222 -0.172951222 -0.068869222 0.0000000
static-and-dynamic:LV-dynamic-only:Fd       -0.090910521 -0.136543402 -0.045277641 0.0000000
static-only:MP-dynamic-only:Fd               0.354820671  0.282678130  0.426963212 0.0000000
dynamic-only:MP-dynamic-only:Fd              0.270284687  0.215530531  0.325038843 0.0000000
static-and-dynamic:MP-dynamic-only:Fd        0.290652005  0.243297008  0.338007002 0.0000000
static-only:MR-dynamic-only:Fd               0.352230051  0.283817667  0.420642435 0.0000000
dynamic-only:MR-dynamic-only:Fd              0.299538174  0.248184730  0.350891618 0.0000000
static-and-dynamic:MR-dynamic-only:Fd        0.283480114  0.237778496  0.329181733 0.0000000
static-only:LV-static-and-dynamic:Fd        -0.040933365 -0.104765370  0.022898640 0.1061407
dynamic-only:LV-static-and-dynamic:Fd       -0.174655239 -0.222063212 -0.127247267 0.0000000
static-and-dynamic:LV-static-and-dynamic:Fd -0.144655539 -0.184924758 -0.104386321 0.0000000
static-only:MP-static-and-dynamic:Fd         0.301075653  0.232200429  0.369950876 0.0000000
dynamic-only:MP-static-and-dynamic:Fd        0.216539669  0.166168370  0.266910968 0.0000000
static-and-dynamic:MP-static-and-dynamic:Fd  0.236906987  0.194696254  0.279117720 0.0000000
static-only:MR-static-and-dynamic:Fd         0.298485033  0.233527320  0.363442747 0.0000000
dynamic-only:MR-static-and-dynamic:Fd        0.245793156  0.199140970  0.292445341 0.0000000
static-and-dynamic:MR-static-and-dynamic:Fd  0.229735097  0.189388001  0.270082193 0.0000000
dynamic-only:LV-static-only:LV              -0.133721874 -0.202194834 -0.065248915 0.0000000
static-and-dynamic:LV-static-only:LV        -0.103722174 -0.167461019 -0.039983329 0.0000000
static-only:MP-static-only:LV                0.342009018  0.257245661  0.426772376 0.0000000
dynamic-only:MP-static-only:LV               0.257473034  0.186915978  0.328030090 0.0000000
static-and-dynamic:MP-static-only:LV         0.277840352  0.212857460  0.342823245 0.0000000
static-only:MR-static-only:LV                0.339418399  0.257806299  0.421030498 0.0000000
dynamic-only:MR-static-only:LV               0.286726521  0.218774650  0.354678392 0.0000000
static-and-dynamic:MR-static-only:LV         0.270668462  0.206880387  0.334456537 0.0000000
static-and-dynamic:LV-dynamic-only:LV        0.029999700 -0.017282763  0.077282163 0.1162789
static-only:MP-dynamic-only:LV               0.475730892  0.402533777  0.548928008 0.0000000
dynamic-only:MP-dynamic-only:LV              0.391194908  0.335058564  0.447331253 0.0000000
static-and-dynamic:MP-dynamic-only:LV        0.411562227  0.362615651  0.460508803 0.0000000
static-only:MR-dynamic-only:LV               0.473140273  0.403616710  0.542663836 0.0000000
dynamic-only:MR-dynamic-only:LV              0.420448395  0.367623707  0.473273084 0.0000000
static-and-dynamic:MR-dynamic-only:LV        0.404390336  0.357041530  0.451739143 0.0000000
static-only:MP-static-and-dynamic:LV         0.445731192  0.376942299  0.514520085 0.0000000
dynamic-only:MP-static-and-dynamic:LV        0.361195208  0.310942017  0.411448399 0.0000000
static-and-dynamic:MP-static-and-dynamic:LV  0.381562526  0.339492806  0.423632247 0.0000000
static-only:MR-static-and-dynamic:LV         0.443140572  0.378274403  0.508006742 0.0000000
dynamic-only:MR-static-and-dynamic:LV        0.390448695  0.343924058  0.436973332 0.0000000
static-and-dynamic:MR-static-and-dynamic:LV  0.374390636  0.334191089  0.414590183 0.0000000
dynamic-only:MP-static-only:MP              -0.084535984 -0.159686298 -0.009385670 0.0000034
static-and-dynamic:MP-static-only:MP        -0.064168666 -0.134111842  0.005774510 0.0006948
