  Tukey multiple comparisons of means
    99% family-wise confidence level

Fit: aov(formula = U ~ C * T, data = d)

$C
                    diff        lwr       upr p adj
2-big-1-small 0.07922428 0.05241097 0.1060376     0

$T
             diff         lwr         upr     p adj
Fd-CP -0.36766802 -0.39751320 -0.33782283 0.0000000
LV-CP -0.50550873 -0.53543995 -0.47557751 0.0000000
MP-CP -0.12696745 -0.15755965 -0.09637524 0.0000000
MR-CP -0.12176916 -0.15168001 -0.09185830 0.0000000
LV-Fd -0.13784071 -0.15766557 -0.11801586 0.0000000
MP-Fd  0.24070057  0.21989120  0.26150994 0.0000000
MR-Fd  0.24589886  0.22610476  0.26569296 0.0000000
MP-LV  0.37854128  0.35760870  0.39947386 0.0000000
MR-LV  0.38373957  0.36381599  0.40366316 0.0000000
MR-MP  0.00519829 -0.01570516  0.02610174 0.9278245

$`C:T`
                              diff         lwr          upr     p adj
2-big:CP-1-small:CP    0.027506899 -0.06979046  0.124804255 0.9904309
1-small:Fd-1-small:CP -0.373912153 -0.40895157 -0.338872736 0.0000000
2-big:Fd-1-small:CP   -0.269776850 -0.35686295 -0.182690752 0.0000000
1-small:LV-1-small:CP -0.508767011 -0.54390700 -0.473627024 0.0000000
2-big:LV-1-small:CP   -0.483754393 -0.57049951 -0.397009277 0.0000000
1-small:MP-1-small:CP -0.129498113 -0.16540721 -0.093589021 0.0000000
2-big:MP-1-small:CP   -0.111569809 -0.19848481 -0.024654803 0.0001238
1-small:MR-1-small:CP -0.125814725 -0.16093053 -0.090698915 0.0000000
2-big:MR-1-small:CP   -0.080525708 -0.16744071  0.006389298 0.0253751
1-small:Fd-2-big:CP   -0.401419052 -0.49493105 -0.307907053 0.0000000
2-big:Fd-2-big:CP     -0.297283749 -0.42016874 -0.174398756 0.0000000
1-small:LV-2-big:CP   -0.536273910 -0.62982364 -0.442724181 0.0000000
2-big:LV-2-big:CP     -0.511261292 -0.63390487 -0.388617710 0.0000000
1-small:MP-2-big:CP   -0.157005012 -0.25084635 -0.063163678 0.0000000
2-big:MP-2-big:CP     -0.139076708 -0.26184051 -0.016312905 0.0014877
1-small:MR-2-big:CP   -0.153321624 -0.24686227 -0.059780974 0.0000000
2-big:MR-2-big:CP     -0.108032607 -0.23079641  0.014731196 0.0435724
2-big:Fd-1-small:Fd    0.104135303  0.02129988  0.186970722 0.0001965
1-small:LV-1-small:Fd -0.134854859 -0.15749414 -0.112215577 0.0000000
2-big:LV-1-small:Fd   -0.109842241 -0.19231911 -0.027365374 0.0000521
1-small:MP-1-small:Fd  0.244414039  0.22059847  0.268229606 0.0000000
2-big:MP-1-small:Fd    0.262342344  0.17968681  0.344997873 0.0000000
1-small:MR-1-small:Fd  0.248097428  0.22549569  0.270699163 0.0000000
2-big:MR-1-small:Fd    0.293386444  0.21073091  0.376041974 0.0000000
1-small:LV-2-big:Fd   -0.238990161 -0.32186817 -0.156112150 0.0000000
2-big:LV-2-big:Fd     -0.213977543 -0.32868875 -0.099266336 0.0000000
1-small:MP-2-big:Fd    0.140278737  0.05707171  0.223485761 0.0000000
2-big:MP-2-big:Fd      0.158207041  0.04336731  0.273046774 0.0000220
1-small:MR-2-big:Fd    0.143962125  0.06109436  0.226829888 0.0000000
2-big:MR-2-big:Fd      0.189251142  0.07441141  0.304090875 0.0000000
2-big:LV-1-small:LV    0.025012618 -0.05750703  0.107532261 0.9843111
1-small:MP-1-small:LV  0.379268898  0.35530561  0.403232188 0.0000000
2-big:MP-1-small:LV    0.397197202  0.31449899  0.479895416 0.0000000
1-small:MR-1-small:LV  0.382952286  0.36019495  0.405709625 0.0000000
2-big:MR-1-small:LV    0.428241303  0.34554309  0.510939517 0.0000000
1-small:MP-2-big:LV    0.354256280  0.27140620  0.437106359 0.0000000
2-big:MP-2-big:LV      0.372184584  0.25760321  0.486765957 0.0000000
1-small:MR-2-big:LV    0.357939668  0.27543032  0.440449019 0.0000000
2-big:MR-2-big:LV      0.403228685  0.28864731  0.517810058 0.0000000
2-big:MP-1-small:MP    0.017928304 -0.06509964  0.100956244 0.9987655
1-small:MR-1-small:MP  0.003683388 -0.02024443  0.027611210 0.9999234
2-big:MR-1-small:MP    0.048972405 -0.03405553  0.132000345 0.4911260
1-small:MR-2-big:MP   -0.014244916 -0.09693286  0.068443027 0.9998033
2-big:MR-2-big:MP      0.031044101 -0.08366594  0.145754144 0.9930385
2-big:MR-1-small:MR    0.045289017 -0.03739893  0.127976960 0.6009045

